component	line	slot	tag	kind	anatomy	part	carried	missingTokens	unresolvedIdents
card	69	card-action	div	call:cn	CardAction	-	NO	col-start-2 row-span-2 row-start-1 self-start justify-self-end	-
card	82	card-content	div	call:cn	CardContent	-	NO	px-6	-
card	92	card-footer	div	call:cn	CardFooter	-	NO	items-center px-6 [.border-t]:pt-6	-
carousel	170	carousel	div	call:cn	Carousel	(root)	yes	-	-
carousel	189	carousel-content	div	call:cn	CarouselContent	CarouselContent	yes	-	-
carousel	190	carousel-track	div	call:cn	CarouselTrack	CarouselTrack	yes	-	-
carousel	201	carousel-item	div	call:cn	CarouselItem	CarouselItem	yes	-	-
carousel	214	carousel-previous	Button	call:cn	CarouselPrevious	CarouselPrevious	yes	-	-
carousel	223	-	svg	literal	-	-	NO	size-4	-
carousel	224	-	span	literal	-	-	NO	sr-only	-
carousel	232	carousel-next	Button	call:cn	CarouselNext	CarouselNext	yes	-	-
carousel	241	-	svg	literal	-	-	NO	size-4	-
carousel	242	-	span	literal	-	-	NO	sr-only	-
chart	152	chart	div	call:cn	-	(root)	yes	-	-
chart	189	chart-tooltip-content	div	call:cn	ChartTooltipContent	ChartTooltipContent	yes	-	-
chart	191	chart-tooltip-label	div	ident:TOOLTIP_LABEL	ChartTooltipLabel	ChartTooltipLabel	yes	-	-
chart	196	chart-tooltip-item	div	ident:TOOLTIP_ITEM	ChartTooltipItem	ChartTooltipItem	yes	-	-
chart	198	chart-tooltip-indicator	span	call:cn	ChartTooltipIndicator	ChartTooltipIndicator	yes	-	-
chart	207	chart-tooltip-value	span	ident:TOOLTIP_VALUE	ChartTooltipValue	ChartTooltipValue	yes	-	-
chart	235	chart-legend-content	div	call:cn	ChartLegendContent	ChartLegendContent	yes	-	-
chart	239	chart-legend-item	div	ident:LEGEND_ITEM	ChartLegendItem	ChartLegendItem	yes	-	-
chart	241	chart-legend-swatch	span	ident:LEGEND_SWATCH	ChartLegendSwatch	ChartLegendSwatch	yes	-	-
checkbox	9	checkbox	CheckboxPrimitive.Root	call:cn	Checkbox	(root)	yes	-	-
checkbox	9	checkbox-indicator	CheckboxPrimitive.Indicator	literal	Indicator	-	NO	flex items-center justify-center text-current	-
collapsible	11	collapsible	CollapsiblePrimitive.Root	call:cn	Collapsible	(root)	yes	-	-
collapsible	19	collapsible-content	CollapsiblePrimitive.Content	call:cn	CollapsibleContent	-	NO	overflow-hidden text-sm data-[state=closed]:animate-collapsible-up data-[state=open]:animate-collapsible-down	-
combobox	113	combobox-trigger	PopoverTrigger	call:cn	ComboboxTrigger	-	yes	-	-
combobox	127	combobox-value	span	call:cn	ComboboxValue	ComboboxValue	yes	-	-
combobox	135	combobox-icon	svg	call:cn	ComboboxIcon	ComboboxIcon	yes	-	-
combobox	157	combobox-content	PopoverContent	call:cn	ComboboxContent	ComboboxContent	yes	-	-
combobox	158	-	Command	literal	-	-	NO	border-0 shadow-none	-
command	219	command	div	call:cn	Command	(root)	yes	-	-
command	228	command-input	input	call:cn	CommandInput	CommandInput	yes	-	-
command	263	command-list	div	call:cn	CommandList	CommandList	yes	-	-
command	279	command-group	div	call:cn	CommandGroup	CommandGroup	yes	-	-
command	286	command-group-heading	div	call:cn	CommandGroupHeading	CommandGroupHeading	yes	-	-
command	310	command-item	div	call:cn	CommandItem	CommandItem	yes	-	-
command	332	-	span	literal	-	-	NO	absolute right-2	-
command	342	command-separator	div	call:cn	CommandSeparator	CommandSeparator	yes	-	-
command	348	command-empty	div	call:cn	CommandEmpty	CommandEmpty	yes	-	-
dialog	13	dialog-overlay	DialogPrimitive.Overlay	call:cn	DialogOverlay	-	NO	inset-0 bg-black/50	-
dialog	15	dialog-content	DialogPrimitive.Content	call:cn	DialogContent	-	yes	-	-
dialog	17	dialog-header	div	call:cn	DialogHeader	-	NO	flex flex-col gap-2 text-center sm:text-left	-
