component	line	slot	tag	kind	anatomy	part	carried	missingTokens	unresolvedIdents
table	55	table-footer	tfoot	call:cn	TableFooter	TableFooter	yes	-	-
table	58	table-caption	caption	call:cn	TableCaption	TableCaption	yes	-	-
tabs	126	tabs	TabsPrimitive.Root	call:cn	Tabs	(root)	yes	-	-
tabs	130	tabs-list	TabsPrimitive.List	call:cn	TabsList	TabsList	yes	-	-
tabs	135	tabs-trigger	TabsPrimitive.Trigger	call:cn	TabsTrigger	TabsTrigger	yes	-	-
tabs	139	tabs-content	TabsPrimitive.Content	call:cn	TabsContent	TabsContent	yes	-	-
textarea	22	textarea	textarea	call:cn	Textarea	(root)	yes	-	-
toast	33	toast-viewport	ToastPrimitive.Viewport	call:cn	ToastViewport	-	NO	fixed right-0 bottom-0 z-50 max-h-screen max-w-sm flex-col gap-2	-
toast	38	toast	ToastPrimitive.Root	call:cn	Toast	(root)	yes	-	-
toast	42	toast-title	ToastPrimitive.Title	call:cn	ToastTitle	-	NO	font-medium	-
toast	43	toast-description	ToastPrimitive.Description	call:cn	ToastDescription	-	NO	text-sm	-
toast	44	toast-action	ToastPrimitive.Action	call:cn	ToastAction	-	NO	text-sm font-medium underline underline-offset-4	-
toast	45	toast-close	ToastPrimitive.Close	call:cn	ToastClose	-	NO	shrink-0 text-sm	-
toggle	26	toggle	TogglePrimitive.Root	call:cn	Toggle	(root)	yes	-	-
toggle-group	125	toggle-group	ToggleGroupPrimitive.Root	call:cn	ToggleGroup	(root)	yes	-	-
toggle-group	131	toggle-group-item	ToggleGroupPrimitive.Item	call:cn	ToggleGroupItem	ToggleGroupItem	NO	min-w-8 px-1.5 min-w-9 px-2 min-w-10 px-2.5	-
tooltip	13	tooltip-content	TooltipPrimitive.Content	call:cn	TooltipContent	-	yes	-	-
